,date,location,status,alarm_type,limit,value,platform_1,platform_2,deepfreezer_1,deepfreezer_2,freezer_1,freezer_2,freezer_3,freezer_4,cooling_1,cooling_2,sensor_alarm,temp,humidity
2,2021-06-24 17:00:00,Freezer,0,recovery ,-19,-20.0,2.3,0.1,-23.0,-24.0,-20.2,-19.9,-20.0,-21.6,3.4,3.5,freezer_3,19.68,62.0
3,2021-06-24 17:30:00,Deepfreezer,0,recovery ,-25,-25.9,2.4,0.6,-25.9,-25.0,-20.9,-20.8,-21.2,-22.1,3.1,3.2,deepfreezer_1,19.68,62.0
4,2021-06-24 17:30:00,Deepfreezer,0,recovery ,-25,-25.0,2.4,0.6,-25.9,-25.0,-20.9,-20.8,-21.2,-22.1,3.1,3.2,deepfreezer_2,19.68,62.0
5,2021-06-24 17:45:00,Platform,1,deficit,1,0.6,2.4,0.6,-26.4,-25.4,-21.0,-21.0,-21.5,-22.2,3.1,3.2,platform_2,19.68,62.0
6,2021-06-24 19:15:00,Platform,1,deficit,1,0.8,0.8,-0.9,-27.2,-26.2,-21.1,-21.0,-22.2,-22.4,3.0,3.1,platform_1,19.68,62.0
7,2021-06-24 19:30:00,Platform,0,recovery ,1,1.1,1.1,-0.5,-27.6,-26.3,-21.1,-20.9,-22.3,-22.4,3.0,3.1,platform_1,19.68,62.0
8,2021-06-24 21:00:00,Platform,1,deficit,1,0.7,0.7,-1.1,-27.7,-26.9,-20.8,-20.7,-21.6,-22.3,3.4,3.2,platform_1,22.02,55.0
9,2021-06-24 21:15:00,Platform,0,recovery ,1,1.1,1.1,-0.6,-27.7,-27.0,-20.8,-20.8,-21.7,-22.3,3.5,3.3,platform_1,22.02,55.0
10,2021-06-24 22:00:00,Platform,0,recovery ,1,1.2,1.2,-0.3,-27.7,-27.2,-20.9,-21.3,-22.8,-22.2,3.8,3.4,platform_1,19.58,59.0
11,2021-06-24 22:15:00,Platform,0,recovery ,1,1.3,2.3,1.3,-27.4,-27.3,-21.0,-21.5,-23.0,-22.2,4.0,3.5,platform_2,19.58,59.0
12,2021-06-24 22:30:00,Freezer,1,deficit,-23,-23.1,2.1,1.2,-27.0,-27.2,-21.0,-21.7,-23.1,-22.2,4.1,3.5,freezer_3,19.58,59.0
13,2021-06-24 22:45:00,Platform,1,deficit,1,-0.4,1.7,-0.4,-26.6,-27.2,-21.0,-21.6,-22.9,-22.2,4.2,3.6,platform_2,19.58,59.0
14,2021-06-24 22:45:00,Freezer,0,recovery ,-23,-22.9,1.7,-0.4,-26.6,-27.2,-21.0,-21.6,-22.9,-22.2,4.2,3.6,freezer_3,19.58,59.0
15,2021-06-24 23:00:00,Freezer,1,deficit,-23,-23.2,1.5,-0.3,-26.4,-27.0,-21.1,-21.6,-23.2,-22.2,4.3,3.7,freezer_3,16.73,62.0
16,2021-06-24 23:30:00,Freezer,0,recovery ,-23,-22.7,1.6,-0.6,-25.9,-26.8,-21.1,-21.3,-22.7,-22.2,4.5,3.9,freezer_3,16.73,62.0
17,2021-06-25 01:15:00,Platform,1,deficit,1,0.3,0.3,-1.5,-25.0,-26.1,-20.9,-21.1,-21.9,-22.2,3.4,4.0,platform_1,16.73,62.0
18,2021-06-25 01:45:00,Platform,0,recovery ,1,1.2,1.2,-0.3,-24.4,-26.0,-21.0,-21.2,-21.9,-22.2,3.2,3.8,platform_1,16.73,62.0
19,2021-06-25 01:45:00,Deepfreezer,1,exceed,-25,-24.4,1.2,-0.3,-24.4,-26.0,-21.0,-21.2,-21.9,-22.2,3.2,3.8,deepfreezer_1,16.73,62.0
20,2021-06-25 02:00:00,Deepfreezer,0,recovery ,-25,-25.3,1.2,-0.4,-25.3,-25.8,-20.9,-21.3,-22.1,-22.2,2.9,3.7,deepfreezer_1,17.78,81.0
21,2021-06-25 04:15:00,Platform,1,deficit,1,0.5,0.5,-1.2,-26.3,-26.3,-21.0,-21.1,-22.2,-22.1,3.1,3.4,platform_1,17.78,81.0
22,2021-06-25 05:30:00,Platform,0,recovery ,1,1.1,1.1,0.1,-26.6,-26.2,-21.0,-21.0,-22.1,-22.0,3.1,3.3,platform_1,17.78,81.0
23,2021-06-25 06:30:00,Platform,1,deficit,1,0.6,0.6,-1.2,-27.3,-26.4,-21.0,-21.3,-22.8,-22.0,3.3,3.3,platform_1,17.78,81.0
24,2021-06-25 07:45:00,Platform,0,recovery ,1,1.5,1.5,0.6,-28.2,-27.0,-20.7,-20.3,-21.9,-22.1,3.8,3.6,platform_1,17.78,81.0
25,2021-06-25 08:00:00,Platform,0,recovery ,1,1.2,2.2,1.2,-28.3,-27.1,-20.7,-20.6,-22.2,-22.1,4.1,3.7,platform_2,15.47,87.0
26,2021-06-25 08:30:00,Freezer,1,deficit,-23,-23.4,2.7,1.3,-28.5,-27.4,-20.7,-21.1,-23.4,-22.1,4.6,4.0,freezer_3,15.47,87.0
27,2021-06-25 09:15:00,Freezer,0,recovery ,-23,-22.5,1.5,0.1,-27.9,-27.7,-20.8,-20.9,-22.5,-22.1,3.6,4.1,freezer_3,15.47,87.0
28,2021-06-25 11:00:00,Platform,0,recovery ,1,1.9,2.7,1.9,-27.1,-27.4,-20.8,-21.3,-22.6,-22.2,3.6,4.0,platform_2,14.17,96.0
29,2021-06-25 11:15:00,Platform,1,deficit,1,0.9,2.1,0.9,-27.5,-27.3,-20.9,-21.3,-22.8,-22.2,3.6,4.1,platform_2,14.17,96.0
30,2021-06-25 11:45:00,Freezer,1,deficit,-23,-23.1,1.3,0.3,-26.9,-27.3,-20.9,-21.4,-23.1,-22.2,3.6,4.1,freezer_3,14.17,96.0
31,2021-06-25 12:15:00,Freezer,0,recovery ,-23,-22.5,1.8,0.2,-26.0,-27.1,-20.9,-21.3,-22.5,-22.2,3.6,4.1,freezer_3,14.17,96.0
32,2021-06-25 12:30:00,Freezer,1,deficit,-23,-23.2,1.5,0.2,-26.4,-26.9,-20.9,-21.4,-23.2,-22.3,3.8,4.1,freezer_3,14.17,96.0
33,2021-06-25 14:15:00,Cooler,1,exceed,5,5.1,1.8,0.5,-26.0,-26.7,-21.0,-21.3,-24.0,-22.4,5.1,5.0,cooling_1,14.17,96.0
34,2021-06-25 14:30:00,Cooler,1,exceed,5,5.1,1.9,0.1,-26.0,-26.6,-21.0,-21.2,-24.0,-22.5,5.3,5.1,cooling_2,14.17,96.0
35,2021-06-25 15:00:00,Freezer,0,recovery ,-23,-22.9,-0.1,-2.4,-26.1,-26.5,-21.0,-21.4,-22.9,-22.4,5.0,5.3,freezer_3,17.02,90.0
36,2021-06-25 15:00:00,Cooler,0,recovery ,5,5.0,-0.1,-2.4,-26.1,-26.5,-21.0,-21.4,-22.9,-22.4,5.0,5.3,cooling_1,17.02,90.0
37,2021-06-25 15:15:00,Cooler,1,exceed,5,5.2,-0.3,-1.9,-26.3,-26.4,-21.0,-21.4,-22.8,-22.5,5.2,5.3,cooling_1,17.02,90.0
38,2021-06-25 20:00:00,Freezer,1,deficit,-23,-23.3,0.8,-0.9,-26.6,-26.6,-21.1,-21.3,-23.3,-22.5,6.9,7.0,freezer_3,22.34,54.0
39,2021-06-25 20:30:00,Platform,0,recovery ,1,1.1,1.1,-1.0,-26.8,-26.6,-21.1,-21.3,-23.2,-22.4,7.0,7.0,platform_1,22.34,54.0
40,2021-06-25 20:45:00,Platform,1,deficit,1,0.7,0.7,-1.0,-26.9,-26.6,-21.1,-21.3,-23.6,-22.4,7.1,7.1,platform_1,22.34,54.0
41,2021-06-25 21:15:00,Freezer,0,recovery ,-23,-22.9,0.6,-0.5,-25.5,-26.5,-21.1,-21.6,-22.9,-22.4,7.0,7.1,freezer_3,22.34,54.0
42,2021-06-25 21:30:00,Freezer,1,deficit,-23,-23.2,1.0,-0.1,-26.0,-26.4,-21.2,-21.6,-23.2,-22.5,7.1,7.2,freezer_3,22.34,54.0
43,2021-06-25 21:45:00,Platform,0,recovery ,1,1.3,1.3,-0.1,-26.5,-26.3,-21.2,-21.5,-23.4,-22.5,7.1,7.2,platform_1,22.34,54.0
44,2021-06-25 23:00:00,Cooler,0,recovery ,5,4.8,0.9,-0.8,-27.2,-26.3,-21.2,-21.5,-24.2,-22.5,4.8,6.7,cooling_1,16.98,67.0
45,2021-06-26 00:45:00,Freezer,0,recovery ,-23,-22.4,0.5,-0.9,-25.8,-27.0,-21.2,-21.3,-22.4,-22.6,4.0,5.4,freezer_3,16.98,67.0
46,2021-06-26 01:15:00,Deepfreezer,1,exceed,-25,-24.3,0.9,-0.2,-24.3,-26.7,-21.2,-21.2,-21.8,-22.7,3.8,5.3,deepfreezer_1,16.98,67.0
47,2021-06-26 01:45:00,Platform,0,recovery ,1,1.8,1.8,0.7,-23.4,-26.4,-21.1,-21.1,-22.3,-22.6,3.9,5.3,platform_1,16.98,67.0
48,2021-06-26 02:15:00,Deepfreezer,0,recovery ,-25,-25.3,2.3,0.7,-25.3,-25.9,-21.1,-20.8,-22.2,-22.6,3.9,5.2,deepfreezer_1,16.98,67.0
49,2021-06-26 03:00:00,Cooler,0,recovery ,5,5.0,1.9,0.5,-27.1,-25.9,-21.0,-21.3,-21.7,-22.6,3.0,5.0,cooling_2,15.24,84.0
50,2021-06-26 04:15:00,Freezer,1,deficit,-23,-23.5,1.1,0.0,-27.8,-26.7,-21.1,-21.5,-23.5,-22.5,3.2,4.6,freezer_3,15.24,84.0
51,2021-06-26 05:30:00,Platform,0,recovery ,1,1.3,1.3,0.3,-26.9,-26.9,-21.4,-22.1,-23.0,-22.5,2.9,4.2,platform_1,15.24,84.0
52,2021-06-26 06:15:00,Platform,0,recovery ,1,1.3,2.6,1.3,-27.5,-27.0,-21.6,-22.2,-23.3,-22.5,3.0,4.0,platform_2,15.24,84.0
53,2021-06-26 07:00:00,Platform,1,deficit,1,0.6,1.6,0.6,-27.2,-27.3,-21.6,-21.9,-24.2,-22.5,3.8,4.1,platform_2,15.08,86.0
54,2021-06-26 10:00:00,Platform,1,deficit,1,0.7,2.2,0.7,-26.0,-26.5,-21.9,-22.4,-22.9,-22.8,2.8,3.6,platform_2,14.17,94.0
55,2021-06-26 10:00:00,Freezer,0,recovery ,-23,-22.9,2.2,0.7,-26.0,-26.5,-21.9,-22.4,-22.9,-22.8,2.8,3.6,freezer_3,14.17,94.0
56,2021-06-26 10:15:00,Freezer,1,deficit,-23,-23.1,1.8,0.5,-26.3,-26.4,-21.9,-22.3,-23.1,-22.8,2.5,3.6,freezer_3,14.17,94.0
57,2021-06-26 10:30:00,Freezer,0,recovery ,-23,-22.9,1.6,0.3,-26.6,-26.4,-21.8,-22.3,-22.9,-22.8,2.7,3.6,freezer_3,14.17,94.0
58,2021-06-26 10:45:00,Freezer,1,deficit,-23,-23.1,2.0,0.9,-27.1,-26.4,-21.9,-22.2,-23.1,-22.8,2.5,3.5,freezer_3,14.17,94.0
59,2021-06-26 11:00:00,Platform,0,recovery ,1,1.6,3.0,1.6,-27.4,-26.5,-21.9,-22.3,-23.0,-22.8,2.5,3.5,platform_2,14.17,93.0
60,2021-06-26 14:15:00,Platform,1,exceed,5,5.3,5.3,4.3,-28.5,-28.7,-21.8,-21.4,-22.5,-22.8,2.8,3.3,platform_1,14.17,93.0
61,2021-06-26 14:15:00,Freezer,0,recovery ,-23,-22.5,5.3,4.3,-28.5,-28.7,-21.8,-21.4,-22.5,-22.8,2.8,3.3,freezer_3,14.17,93.0
62,2021-06-26 14:45:00,Platform,0,recovery ,5,5.0,5.0,3.9,-26.3,-28.7,-21.7,-20.6,-21.0,-22.9,3.1,3.4,platform_1,14.17,93.0
63,2021-06-26 15:00:00,Platform,1,exceed,5,5.1,5.1,3.5,-25.6,-28.4,-21.6,-20.3,-20.7,-22.9,3.2,3.5,platform_1,18.09,70.0
64,2021-06-26 15:15:00,Platform,0,recovery ,5,4.5,4.5,3.0,-24.7,-28.2,-21.5,-20.0,-20.3,-22.9,3.3,3.5,platform_1,18.09,70.0
65,2021-06-26 15:15:00,Deepfreezer,1,exceed,-25,-24.7,4.5,3.0,-24.7,-28.2,-21.5,-20.0,-20.3,-22.9,3.3,3.5,deepfreezer_1,18.09,70.0
66,2021-06-26 16:00:00,Deepfreezer,0,recovery ,-25,-25.8,4.9,3.9,-25.8,-27.3,-20.9,-19.3,-21.8,-22.8,2.9,3.7,deepfreezer_1,20.08,64.0
67,2021-06-26 17:00:00,Platform,1,deficit,1,0.3,1.9,0.3,-28.0,-27.2,-20.6,-20.1,-22.8,-22.7,3.0,3.6,platform_2,20.75,57.0
68,2021-06-26 17:15:00,Freezer,1,deficit,-23,-23.7,2.1,1.0,-28.4,-27.3,-20.5,-20.7,-23.7,-22.6,2.8,3.6,freezer_3,20.75,57.0
69,2021-06-26 18:45:00,Platform,0,recovery ,1,1.2,2.4,1.2,-29.5,-28.1,-20.7,-21.2,-24.4,-22.6,2.8,3.5,platform_2,20.75,57.0
70,2021-06-26 22:45:00,Freezer,0,recovery ,-23,-22.9,3.3,2.3,-26.5,-27.4,-21.5,-21.7,-22.9,-23.0,2.7,3.3,freezer_3,20.75,57.0
71,2021-06-26 23:30:00,Freezer,1,deficit,-23,-23.1,3.5,2.4,-26.8,-27.1,-21.4,-21.7,-22.0,-23.1,2.6,3.3,freezer_4,20.75,57.0
72,2021-06-27 00:30:00,Freezer,1,deficit,-23,-23.3,2.8,1.3,-27.4,-27.1,-21.3,-21.5,-23.3,-23.0,2.7,3.2,freezer_3,20.75,57.0
73,2021-06-27 01:15:00,Freezer,0,recovery ,-23,-22.9,2.0,1.0,-28.7,-27.4,-21.4,-21.7,-23.8,-22.9,2.9,3.3,freezer_4,20.75,57.0
74,2021-06-27 04:00:00,Deepfreezer,1,deficit,-30,-30.1,2.8,1.6,-30.1,-29.0,-21.9,-22.2,-25.7,-23.0,2.7,3.3,deepfreezer_1,16.11,75.0
75,2021-06-27 04:15:00,Freezer,1,deficit,-23,-23.1,2.6,1.1,-30.1,-29.1,-21.9,-22.2,-25.8,-23.1,2.4,3.3,freezer_4,16.11,75.0
76,2021-06-27 06:30:00,Deepfreezer,1,deficit,-30,-30.1,2.7,1.8,-30.6,-30.1,-22.2,-22.9,-26.1,-23.6,2.7,3.2,deepfreezer_2,16.11,75.0
77,2021-06-27 08:00:00,Platform,1,deficit,1,0.3,1.9,0.3,-30.5,-30.5,-22.3,-22.4,-25.9,-23.9,3.0,3.3,platform_2,14.48,83.0
78,2021-06-27 08:30:00,Deepfreezer,0,recovery ,-30,-29.6,2.1,1.0,-29.6,-30.4,-22.2,-22.0,-24.3,-24.0,2.8,3.3,deepfreezer_1,14.48,83.0
79,2021-06-27 09:15:00,Deepfreezer,0,recovery ,-30,-29.9,1.6,0.5,-28.5,-29.9,-22.1,-22.2,-24.1,-24.2,3.0,3.3,deepfreezer_2,14.48,83.0
80,2021-06-27 09:45:00,Platform,0,recovery ,1,1.1,2.2,1.1,-28.9,-29.6,-22.2,-22.1,-24.7,-24.1,3.0,3.3,platform_2,14.48,83.0
81,2021-06-27 10:00:00,Platform,1,deficit,1,0.3,1.8,0.3,-29.0,-29.5,-22.1,-22.0,-24.7,-24.1,2.9,3.3,platform_2,14.01,94.0
82,2021-06-27 11:00:00,Platform,1,deficit,1,0.7,0.7,-0.9,-27.9,-29.1,-22.1,-22.6,-25.5,-24.1,3.0,3.4,platform_1,13.25,93.0
83,2021-06-27 12:45:00,Platform,0,recovery ,1,2.0,2.0,0.5,-29.5,-28.8,-22.2,-22.2,-24.5,-24.3,3.0,3.3,platform_1,13.25,93.0
84,2021-06-27 13:30:00,Deepfreezer,1,deficit,-30,-30.2,2.5,1.0,-30.2,-29.3,-22.2,-22.7,-24.3,-24.3,3.0,3.4,deepfreezer_1,13.25,93.0
85,2021-06-27 13:45:00,Platform,0,recovery ,1,1.2,2.9,1.2,-30.4,-29.4,-22.3,-22.8,-24.3,-24.3,3.1,3.4,platform_2,13.25,93.0
86,2021-06-27 15:00:00,Deepfreezer,1,deficit,-30,-30.1,1.9,-0.3,-30.5,-30.1,-22.4,-22.8,-24.7,-24.3,3.0,3.4,deepfreezer_2,16.55,84.0
87,2021-06-27 15:45:00,Platform,1,deficit,1,0.9,0.9,-1.1,-30.4,-30.2,-22.5,-22.8,-24.8,-24.4,3.1,3.5,platform_1,16.55,84.0
88,2021-06-27 16:15:00,Deepfreezer,0,recovery ,-30,-29.8,0.1,-1.5,-29.8,-30.2,-22.4,-22.7,-25.2,-24.3,3.2,3.4,deepfreezer_1,16.55,84.0
89,2021-06-27 16:30:00,Platform,0,recovery ,1,1.1,1.1,0.3,-30.1,-30.1,-22.5,-22.7,-25.5,-24.3,3.4,3.5,platform_1,16.55,84.0
