date,hour,a,b,c,d,e,f,g,h,i,j
24/06/21,14:41:55,,,###,###,,,,,,..........
24/06/21,14:42:46,,,###,###,,,,,,..........
24/06/21,14:43:01,,,,,###,###,,,,..........
24/06/21,14:43:37,,,###,###,,,,,,..........
24/06/21,14:44:39,,,###,###,,,,,,..........
24/06/21,14:45:00,,,###,###,###,###,,,,..........
24/06/21,14:49:36,,,,,,,,,###,###..........
24/06/21,14:49:38,,,,,,,,,###,###..........
24/06/21,14:53:19,,,,,,,,,###,###..........
24/06/21,15:00:00,,,###,###,###,###,,,###,###..........
24/06/21,15:15:00,,,###,###,###,###,,,###,###..........
24/06/21,15:30:00,,,###,###,###,###,,,###,###..........
24/06/21,15:45:00,,,###,###,###,###,,,###,###..........
24/06/21,16:00:00,,,###,###,###,###,,,###,###..........
24/06/21,16:14:59,4.8,1.6,,,,,,,,........
24/06/21,16:15:00,4.8,1.6,###,###,###,###,,,###,###........
24/06/21,16:20:42,,,,,,,-7.8,-14.6,,........
24/06/21,16:23:42,,,,,-13.9,-14.5,,,,........
24/06/21,16:25:10,,,,,-14.7,-15.3,,,,........
24/06/21,16:25:19,,,,,-14.8,-15.3,,,,........
24/06/21,16:27:30,,,-9.6,-16.9,,,,,,........
24/06/21,16:27:52,,,-11,-17.8,,,,,,........
24/06/21,16:28:19,,,-11.8,-18.3,,,,,,........
24/06/21,16:30:00,4.7,1.9,-13.6,-19.3,-16.4,-17.1,-15.4,-19,,###..
24/06/21,16:32:05,,,,,,,,,5.4,5.1........
24/06/21,16:33:20,,,,,-17.8,-17.9,,,,........
24/06/21,16:40:49,,,-18.5,-22.5,,,,,,........
24/06/21,16:45:00,3.7,1.4,-20,-22.9,-19.3,-19.1,-18.1,-20.8,3.9,3.9
24/06/21,16:47:07,,,,,,,-18.6,-20.9,,........
24/06/21,16:58:32,2.3,0,,,,,,,,........
24/06/21,17:00:00,2.3,0.1,-23,-24,-20.2,-19.9,-20,-21.6,3.4,3.5
24/06/21,17:15:00,2.4,0.6,-24.8,-24.6,-20.6,-20.4,-20.9,-21.9,3.2,3.3
