,date,platform_1,platform_2,deepfreezer_1,deepfreezer_2,freezer_1,freezer_2,freezer_3,freezer_4,cooling_1,cooling_2
0,2021-06-24 16:45:00,3.7,1.4,-20.0,-22.9,-19.3,-19.1,-18.1,-20.8,3.9,3.9
1,2021-06-24 17:00:00,2.3,0.1,-23.0,-24.0,-20.2,-19.9,-20.0,-21.6,3.4,3.5
2,2021-06-24 17:15:00,2.4,0.6,-24.8,-24.6,-20.6,-20.4,-20.9,-21.9,3.2,3.3
3,2021-06-24 17:30:00,2.4,0.6,-25.9,-25.0,-20.9,-20.8,-21.2,-22.1,3.1,3.2
4,2021-06-24 17:45:00,2.4,0.6,-26.4,-25.4,-21.0,-21.0,-21.5,-22.2,3.1,3.2
5,2021-06-24 18:00:00,1.9,0.5,-26.7,-25.5,-21.1,-21.0,-22.0,-22.3,3.1,3.2
6,2021-06-24 18:15:00,1.6,-0.2,-26.7,-25.7,-21.0,-21.1,-22.0,-22.4,2.9,3.1
7,2021-06-24 18:30:00,1.3,-0.4,-27.0,-25.8,-21.1,-21.3,-22.0,-22.3,2.9,3.1
8,2021-06-24 18:45:00,1.5,-0.1,-27.2,-26.0,-21.1,-21.2,-22.0,-22.4,3.0,3.1
9,2021-06-24 19:00:00,1.1,-0.9,-27.3,-26.1,-21.1,-21.3,-22.0,-22.4,2.9,3.1
10,2021-06-24 19:15:00,0.8,-0.9,-27.2,-26.2,-21.1,-21.0,-22.2,-22.4,3.0,3.1
11,2021-06-24 19:30:00,1.1,-0.5,-27.6,-26.3,-21.1,-20.9,-22.3,-22.4,3.0,3.1
12,2021-06-24 19:45:00,1.8,0.4,-27.6,-26.4,-21.0,-20.8,-22.2,-22.3,3.1,3.1
13,2021-06-24 20:00:00,1.8,0.5,-27.8,-26.5,-21.0,-20.7,-21.9,-22.3,3.2,3.1
14,2021-06-24 20:15:00,1.5,0.0,-27.8,-26.7,-21.0,-20.7,-21.9,-22.3,3.2,3.1
15,2021-06-24 20:30:00,1.7,0.6,-27.8,-26.7,-21.0,-20.5,-21.6,-22.3,3.3,3.2
16,2021-06-24 20:45:00,1.5,-0.4,-27.8,-26.9,-20.9,-20.5,-21.4,-22.3,3.4,3.2
17,2021-06-24 21:00:00,0.7,-1.1,-27.7,-26.9,-20.8,-20.7,-21.6,-22.3,3.4,3.2
18,2021-06-24 21:15:00,1.1,-0.6,-27.7,-27.0,-20.8,-20.8,-21.7,-22.3,3.5,3.3
19,2021-06-24 21:30:00,0.7,-1.0,-27.8,-27.1,-20.8,-21.0,-22.0,-22.3,3.5,3.3
20,2021-06-24 21:45:00,0.8,-0.7,-28.0,-27.1,-20.9,-21.1,-22.6,-22.2,3.6,3.3
21,2021-06-24 22:00:00,1.2,-0.3,-27.7,-27.2,-20.9,-21.3,-22.8,-22.2,3.8,3.4
22,2021-06-24 22:15:00,2.3,1.3,-27.4,-27.3,-21.0,-21.5,-23.0,-22.2,4.0,3.5
23,2021-06-24 22:30:00,2.1,1.2,-27.0,-27.2,-21.0,-21.7,-23.1,-22.2,4.1,3.5
24,2021-06-24 22:45:00,1.7,-0.4,-26.6,-27.2,-21.0,-21.6,-22.9,-22.2,4.2,3.6
25,2021-06-24 23:00:00,1.5,-0.3,-26.4,-27.0,-21.1,-21.6,-23.2,-22.2,4.3,3.7
26,2021-06-24 23:15:00,1.7,-0.3,-26.1,-26.9,-21.1,-21.6,-23.1,-22.2,4.4,3.8
27,2021-06-24 23:30:00,1.6,-0.6,-25.9,-26.8,-21.1,-21.3,-22.7,-22.2,4.5,3.9
28,2021-06-24 23:45:00,1.7,0.5,-26.1,-26.7,-21.1,-21.2,-21.9,-22.2,4.6,3.9
29,2021-06-25 00:00:00,2.0,0.7,-25.9,-26.6,-21.0,-20.8,-21.6,-22.2,4.8,4.0
30,2021-06-25 00:15:00,2.1,0.8,-25.7,-26.5,-21.0,-20.9,-21.5,-22.2,4.9,4.1
31,2021-06-25 00:30:00,2.2,1.0,-25.4,-26.5,-21.0,-20.8,-21.7,-22.2,4.6,4.1
32,2021-06-25 00:45:00,2.0,1.0,-25.5,-26.3,-21.0,-20.8,-21.8,-22.2,4.1,4.1
33,2021-06-25 01:00:00,1.0,-1.5,-25.2,-26.3,-20.9,-20.9,-21.7,-22.2,3.7,4.1
34,2021-06-25 01:15:00,0.3,-1.5,-25.0,-26.1,-20.9,-21.1,-21.9,-22.2,3.4,4.0
35,2021-06-25 01:30:00,1.0,-0.4,-25.0,-26.0,-20.9,-21.1,-22.0,-22.2,3.5,3.9
36,2021-06-25 01:45:00,1.2,-0.3,-24.4,-26.0,-21.0,-21.2,-21.9,-22.2,3.2,3.8
37,2021-06-25 02:00:00,1.2,-0.4,-25.3,-25.8,-20.9,-21.3,-22.1,-22.2,2.9,3.7
38,2021-06-25 02:15:00,1.4,0.2,-25.6,-25.6,-20.9,-21.4,-22.3,-22.1,3.1,3.7
39,2021-06-25 02:30:00,1.4,0.4,-26.0,-25.7,-21.0,-21.5,-22.2,-22.1,3.0,3.6
40,2021-06-25 02:45:00,1.0,-0.2,-26.3,-25.7,-21.0,-21.5,-21.9,-22.1,3.0,3.6
41,2021-06-25 03:00:00,1.3,0.2,-26.6,-25.8,-21.0,-21.5,-21.8,-22.1,3.0,3.5
42,2021-06-25 03:15:00,1.3,0.3,-26.8,-25.9,-21.0,-21.3,-21.8,-22.1,2.9,3.5
43,2021-06-25 03:30:00,2.2,1.0,-26.9,-26.0,-21.0,-21.1,-21.8,-22.1,2.9,3.4
44,2021-06-25 03:45:00,1.6,0.4,-27.1,-26.0,-21.0,-21.1,-22.1,-22.1,3.0,3.4
45,2021-06-25 04:00:00,1.7,0.5,-26.7,-26.2,-21.0,-21.2,-22.1,-22.1,3.0,3.4
46,2021-06-25 04:15:00,0.5,-1.2,-26.3,-26.3,-21.0,-21.1,-22.2,-22.1,3.1,3.4
47,2021-06-25 04:30:00,0.4,-1.2,-26.0,-26.3,-21.0,-21.1,-22.3,-22.1,3.0,3.3
48,2021-06-25 04:45:00,0.8,-0.3,-26.0,-26.2,-21.0,-21.2,-22.3,-22.1,3.0,3.3
49,2021-06-25 05:00:00,0.6,-0.7,-26.1,-26.2,-21.0,-21.2,-22.4,-22.1,3.1,3.3
50,2021-06-25 05:15:00,0.5,-0.6,-26.2,-26.2,-21.0,-21.3,-22.4,-22.1,3.0,3.3
51,2021-06-25 05:30:00,1.1,0.1,-26.6,-26.2,-21.0,-21.0,-22.1,-22.0,3.1,3.3
52,2021-06-25 05:45:00,1.6,0.5,-26.7,-26.2,-21.0,-20.9,-21.9,-22.1,3.1,3.3
53,2021-06-25 06:00:00,1.5,0.5,-26.5,-26.3,-21.0,-20.8,-22.1,-22.1,3.2,3.3
54,2021-06-25 06:15:00,1.4,0.4,-26.9,-26.4,-21.0,-20.8,-22.6,-22.1,3.2,3.2
55,2021-06-25 06:30:00,0.6,-1.2,-27.3,-26.4,-21.0,-21.3,-22.8,-22.0,3.3,3.3
56,2021-06-25 06:45:00,0.0,-1.6,-27.6,-26.5,-20.9,-20.6,-22.2,-22.0,3.3,3.3
57,2021-06-25 07:00:00,0.1,-1.2,-27.7,-26.6,-20.8,-20.4,-22.0,-22.1,3.4,3.3
58,2021-06-25 07:15:00,0.8,-0.6,-27.9,-26.7,-20.8,-20.3,-21.9,-22.1,3.4,3.4
59,2021-06-25 07:30:00,1.0,-0.2,-28.1,-26.9,-20.8,-20.3,-21.9,-22.1,3.6,3.4
60,2021-06-25 07:45:00,1.5,0.6,-28.2,-27.0,-20.7,-20.3,-21.9,-22.1,3.8,3.6
61,2021-06-25 08:00:00,2.2,1.2,-28.3,-27.1,-20.7,-20.6,-22.2,-22.1,4.1,3.7
62,2021-06-25 08:15:00,2.6,1.5,-28.4,-27.2,-20.7,-21.0,-22.7,-22.1,4.3,3.9
63,2021-06-25 08:30:00,2.7,1.3,-28.5,-27.4,-20.7,-21.1,-23.4,-22.1,4.6,4.0
64,2021-06-25 08:45:00,2.6,1.2,-28.5,-27.5,-20.7,-21.2,-23.5,-22.0,4.2,4.1
65,2021-06-25 09:00:00,2.0,0.5,-28.5,-27.6,-20.7,-20.9,-23.2,-22.0,3.9,4.1
66,2021-06-25 09:15:00,1.5,0.1,-27.9,-27.7,-20.8,-20.9,-22.5,-22.1,3.6,4.1
