dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624550400,2021-06-24 16:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,18.85,,14.53,18.78,18.79,22.18,1020,,,76,1.02,56,,,,,,65,803,Clouds,broken clouds,04d
1624554000,2021-06-24 17:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,19.68,,12.2,19.32,18.79,24.18,1019,,,62,1.62,85,,,,,,63,803,Clouds,broken clouds,04d
1624557600,2021-06-24 18:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,21.11,,12.53,20.79,20.46,26.18,1018,,,58,1.94,94,,0.16,,,,43,500,Rain,light rain,10d
1624561200,2021-06-24 19:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,21.86,,12.97,21.59,21.18,22.21,1016,,,57,2.05,85,,0.16,,,,57,500,Rain,light rain,10d
1624564800,2021-06-24 20:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,22.18,,13.53,21.97,19.18,23.32,1015,,,58,1.75,83,,,,,,64,803,Clouds,broken clouds,04d
1624568400,2021-06-24 21:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,22.02,,12.57,21.71,19.18,22.77,1014,,,55,2.12,69,,,,,,62,803,Clouds,broken clouds,04d
1624572000,2021-06-24 22:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,19.58,,11.36,19.13,17.89,21.66,1015,,,59,1.07,49,,0.76,,,,65,500,Rain,light rain,10d
1624575600,2021-06-24 23:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,16.73,,9.42,16.08,15.89,21.18,1015,,,62,1.56,124,,1.55,,,,94,501,Rain,moderate rain,10d
1624579200,2021-06-25 00:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,17.28,,12.61,17,16.89,18.18,1016,,,74,0.32,145,,0.15,,,,88,500,Rain,light rain,10d
1624582800,2021-06-25 01:00:00 +0000 UTC,-18000,Frialsa,19.638615,-99.145726,17.53,,12.85,17.27,16.89,18.32,1016,,,74,0.26,154,,,,,,80,803,Clouds,broken clouds,04d
